Own by Team,From Team,Year,Round
1,1,2022,1
1,1,2019,1
1,1,2022,2
1,1,2022,3
1,1,2021,1
1,9,2018,1
1,1,2022,4
1,1,2022,5
1,1,2019,2
1,1,2022,6
1,20,2018,1
1,1,2022,7
1,3,2020,4
1,1,2020,1
1,4,2019,2
1,1,2021,2
1,3,2018,1
1,17,2019,5
1,1,2020,2
1,1,2021,3
1,1,2020,3
1,1,2021,4
1,1,2020,4
1,21,2019,1
1,1,2019,7
1,1,2020,5
1,1,2021,5
1,1,2020,7
1,1,2021,6
1,9,2019,3
1,1,2021,7
2,2,2018,1
2,2,2018,2
2,2,2022,1
2,2,2022,2
2,2,2021,1
2,2,2022,3
2,2,2019,1
2,2,2019,2
2,2,2022,4
2,2,2021,2
2,2,2019,3
2,2,2020,1
2,2,2019,4
2,2,2022,5
2,2,2020,2
2,2,2020,3
2,2,2019,5
2,2,2019,6
2,3,2018,7
2,2,2020,4
2,2,2020,5
2,2,2020,6
2,2,2022,6
2,2,2021,3
2,2,2021,4
2,2,2021,5
2,2,2021,6
2,2,2021,7
2,2,2022,7
2,2,2020,7
2,3,2019,6
2,2,2018,4
2,2,2019,7
2,2,2018,5
2,16,2019,6
2,5,2019,7
2,13,2018,1
3,18,2018,4
3,3,2021,1
3,3,2021,2
3,3,2022,1
3,3,2021,3
3,20,2020,3
3,3,2020,1
3,3,2020,3
3,3,2020,5
3,3,2021,4
3,3,2021,5
3,3,2020,7
3,3,2022,2
3,3,2021,6
3,3,2021,7
3,3,2022,3
3,3,2022,4
3,3,2022,5
3,3,2022,6
4,20,2018,4
4,21,2018,5
4,4,2021,1
4,6,2019,4
4,6,2019,3
4,15,2018,5
4,15,2018,6
4,4,2018,5
4,4,2018,6
4,7,2018,3
4,4,2018,7
4,4,2019,4
4,4,2019,5
4,4,2019,6
4,4,2019,7
4,4,2020,1
4,4,2021,2
4,4,2021,3
4,4,2021,4
4,4,2021,5
4,4,2021,6
4,4,2021,7
4,4,2020,2
4,4,2022,1
4,4,2022,2
4,4,2022,3
4,4,2022,4
4,4,2022,5
4,4,2022,6
4,4,2020,3
4,4,2022,7
4,4,2020,4
4,4,2020,5
4,4,2020,6
4,12,2018,5
4,4,2020,7
4,20,2019,6
4,21,2019,5
4,21,2019,6
4,20,2018,7
4,13,2018,5
4,24,2018,5
4,20,2018,5
4,16,2020,5
4,4,2019,3
4,6,2019,7
5,5,2022,1
5,12,2019,7
5,29,2018,6
5,18,2018,6
5,5,2018,4
5,3,2019,7
5,18,2019,6
5,5,2021,1
5,5,2020,1
5,15,2018,2
5,26,2018,4
5,5,2021,2
5,5,2022,2
5,5,2019,1
5,5,2022,3
5,5,2019,2
5,5,2019,3
5,5,2022,4
5,20,2020,2
5,5,2020,2
5,5,2021,3
5,5,2021,4
5,23,2019,7
5,5,2022,5
5,5,2018,7
5,5,2022,6
5,5,2022,7
5,20,2020,6
5,21,2019,4
5,5,2020,4
5,29,2019,6
5,5,2019,5
5,5,2020,5
5,5,2021,5
5,25,2018,2
5,5,2019,6
5,7,2018,2
5,16,2018,7
5,5,2020,7
5,5,2021,6
5,5,2021,7
5,25,2019,6
5,15,2018,3
5,26,2018,6
5,26,2019,2
5,22,2018,2
6,6,2022,1
6,6,2019,1
6,16,2019,3
6,6,2021,1
6,6,2021,2
6,6,2022,2
6,6,2020,1
6,6,2021,3
6,6,2022,3
6,6,2018,1
6,6,2021,4
6,6,2022,4
6,6,2021,5
6,6,2021,6
6,6,2020,2
6,6,2022,5
6,6,2022,6
6,6,2022,7
6,22,2019,4
6,6,2020,3
6,6,2020,4
6,6,2020,5
6,6,2019,5
6,6,2021,7
6,6,2020,6
6,6,2020,7
6,22,2018,3
6,23,2018,2
6,21,2020,2
6,18,2019,5
6,25,2019,5
6,20,2019,7
6,13,2018,2
6,3,2019,5
6,21,2020,3
6,23,2019,3
6,23,2019,4
6,7,2019,4
6,22,2018,1
6,26,2020,6
7,7,2018,1
7,7,2022,1
7,7,2018,7
7,7,2019,1
7,7,2021,1
7,23,2018,6
7,7,2022,2
7,7,2022,3
7,22,2018,4
7,7,2020,1
7,7,2019,2
7,7,2022,4
7,7,2019,3
7,7,2021,2
7,7,2019,5
7,7,2021,3
7,7,2019,6
7,7,2021,4
7,7,2019,7
7,7,2020,2
7,7,2021,5
7,16,2018,4
7,7,2020,3
7,7,2020,4
7,7,2020,5
7,7,2020,6
7,7,2020,7
7,7,2022,5
7,7,2021,6
7,7,2021,7
7,14,2018,6
7,6,2019,6
7,22,2018,6
7,19,2018,2
7,21,2018,4
7,25,2018,4
7,7,2022,6
7,5,2018,1
7,7,2022,7
7,6,2018,7
7,1,2019,4
7,1,2020,6
7,18,2018,7
7,3,2022,7
8,8,2018,1
8,8,2020,1
8,8,2020,2
8,8,2018,2
8,8,2020,3
8,8,2019,1
8,8,2019,2
8,8,2021,1
8,8,2018,3
8,8,2019,3
8,8,2020,4
8,8,2019,4
8,8,2018,5
8,8,2020,5
8,8,2020,6
8,8,2020,7
8,8,2021,2
8,8,2018,6
8,28,2018,2
8,8,2021,3
8,8,2021,4
8,8,2021,5
8,8,2021,6
8,8,2021,7
8,8,2018,7
8,8,2022,1
8,8,2022,2
8,8,2022,3
8,20,2019,5
8,8,2022,4
8,8,2022,5
8,8,2019,5
8,8,2019,6
8,8,2019,7
8,8,2022,6
8,8,2022,7
8,10,2019,5
8,10,2018,5
8,21,2018,3
8,20,2019,1
8,22,2018,7
9,9,2019,1
9,9,2021,1
9,9,2019,2
9,9,2018,2
9,15,2019,3
9,9,2018,3
9,9,2018,4
9,30,2019,3
9,9,2021,2
9,9,2019,4
9,9,2019,5
9,9,2019,6
9,9,2019,7
9,9,2021,3
9,4,2018,1
9,20,2018,6
9,9,2020,1
9,9,2020,2
9,16,2019,4
9,9,2021,4
9,9,2022,1
9,20,2019,4
9,14,2018,4
9,9,2021,5
9,9,2022,2
9,9,2021,6
9,9,2021,7
9,27,2018,7
9,21,2020,1
9,9,2022,3
9,9,2022,4
9,9,2020,3
9,9,2020,4
9,9,2020,5
9,9,2020,6
9,9,2020,7
9,9,2022,5
9,9,2022,6
9,9,2022,7
9,20,2019,3
9,7,2018,5
9,21,2018,6
10,10,2019,1
10,10,2018,1
10,10,2018,2
10,10,2022,1
10,10,2021,1
10,10,2021,2
10,10,2022,2
10,10,2022,3
10,10,2019,2
10,10,2022,4
10,10,2019,3
10,25,2018,7
10,10,2022,5
10,10,2020,1
10,10,2020,2
10,10,2020,3
10,10,2020,4
10,10,2020,5
10,10,2020,6
10,10,2021,3
10,10,2021,4
10,10,2020,7
10,10,2021,5
10,10,2021,6
10,10,2021,7
10,10,2022,6
10,10,2022,7
11,11,2018,1
11,11,2018,2
11,11,2018,3
11,11,2019,1
11,11,2020,1
11,11,2018,4
11,11,2018,5
11,11,2019,2
11,11,2019,3
11,11,2019,4
11,11,2020,2
11,11,2018,6
11,11,2019,5
11,11,2019,6
11,11,2020,3
11,11,2020,4
11,11,2020,5
11,11,2020,6
11,11,2020,7
11,11,2021,1
11,11,2021,2
11,11,2021,3
11,11,2021,4
11,11,2021,5
11,11,2021,6
11,11,2021,7
11,12,2018,7
11,11,2022,1
11,11,2018,7
11,11,2019,7
11,11,2022,2
11,11,2022,3
11,11,2022,4
11,11,2022,5
11,11,2022,6
11,11,2022,7
11,21,2018,7
12,30,2018,2
